restId,restName,restArea,restRating,minRevCount,itemCat,itemName,itemPrice,itemDesc,itemBest,itemDescClean,itemNameClean,termImp,descLength,nameLength
0,Chai Point,Villaymma Layouts,4.3,1000,Cold Beverage,Lemon Ice Chai - 300ml,140,Our best tea leaves brewed and served cold with the goodness of fresh lemon juice.,0,best tea leaves brewed served cold goodness fresh lemon juice,lemon ice chai,served cold juice,10,3
0,Chai Point,Villaymma Layouts,4.3,1000,Breakfast and Snacks,Freshly Made Vada Pav,85,A Mumbai Favorite That Goes Well With Chai.,1,mumbai favorite goes chai,freshly vada pav,favorite goes mumbai,4,3
0,Chai Point,Villaymma Layouts,4.3,1000,Peppy Parathas,Anda Chicken Seekh Roll Combo,249,Elaichi Chai Uniflask serves 1 to 2 With Peppy Anda chicken Seehkh Roll,0,elaichi chai uniflask serves peppy anda chicken seehkh roll,anda chicken seekh roll combo,elaichi peppy seehkh,9,5
0,Chai Point,Villaymma Layouts,4.3,1000,Peppy Parathas,Double Anda Roll Combo,229,Elaichi Chai Uniflask serves 1 to 2 With Double Anda Peppy Roll,0,elaichi chai uniflask serves double anda peppy roll,double anda roll combo,peppy elaichi uniflask,8,4
0,Chai Point,Villaymma Layouts,4.3,1000,Peppy Parathas,Anda Paratha Combo,229,Ginger Chai Uniflask( serves 1-2) with Anda Peppy Paratha.,0,ginger chai uniflask serves anda peppy paratha,anda paratha combo,anda peppy uniflask,7,3
0,Chai Point,Villaymma Layouts,4.3,1000,Peppy Parathas,Anda Cheese Paratha Combo ,239,"Crispy, crunchy layered parantha topped with a fluffy omelette. Enjoyed best with our signature Achari Mango chutney, Mint Cilantro chutney and salted butter chiplet and Fresh hand pounded ginger is added to your Chai and brewed to perfection. Made with fresh milk and the best tea leaves from Assam.",0,crispy crunchy layered parantha topped fluffy omelette enjoyed best signature achari mango chutney mint cilantro chutney salted butter chiplet fresh hand pounded ginger added chai brewed perfection fresh milk best tea leaves assam,anda cheese paratha combo,salted parantha chutney,33,4
0,Chai Point,Villaymma Layouts,4.3,1000,Peppy Parathas,Anda Peppy Paratha In Wheat Flour (Atta),170,"Crispy, crunchy layered paratha topped with a fluffy omelette. Enjoyed best with our signature spicy mango chutney, mint Cilantro chutney and  butter chiplet.",0,crispy crunchy layered paratha topped fluffy omelette enjoyed best signature spicy mango chutney mint cilantro chutney butter chiplet,anda peppy paratha wheat flour atta,cilantro fluffy chutney,18,6
0,Chai Point,Villaymma Layouts,4.3,1000,Peppy Parathas,Anda Peppy Paratha With Cheese In Wheat Flour (Atta),179,"Molten cheese and scrumptious eggs sandwiched between layers of delicious paratha with a tang. Enjoyed best with our signature spicy mango chutney, mint Cilantro chutney and butter chiplet.",0,molten cheese scrumptious eggs sandwiched layers delicious paratha tang enjoyed best signature spicy mango chutney mint cilantro chutney butter chiplet,anda peppy paratha cheese wheat flour atta,molten scrumptious chutney,20,7
0,Chai Point,Villaymma Layouts,4.3,1000,Peppy Parathas,Anda Peppy Paratha,160,"Crispy, crunchy layered paratha topped with a fluffy omelette. Enjoyed best with our signature spicy mango chutney, mint Cilantro chutney and  butter chiplet.",0,crispy crunchy layered paratha topped fluffy omelette enjoyed best signature spicy mango chutney mint cilantro chutney butter chiplet,anda peppy paratha,cilantro fluffy chutney,18,3
0,Chai Point,Villaymma Layouts,4.3,1000,Peppy Parathas,Anda Peppy Paratha With Cheese,180,"Molten cheese and scrumptious eggs sandwiched between layers of delicious paratha with a tang. Enjoyed best with our signature spicy mango chutney, mint Cilantro chutney and butter chiplet.",0,molten cheese scrumptious eggs sandwiched layers delicious paratha tang enjoyed best signature spicy mango chutney mint cilantro chutney butter chiplet,anda peppy paratha cheese,molten scrumptious chutney,20,4
0,Chai Point,Villaymma Layouts,4.3,1000,Peppy Parathas,Loaded Aloo Peppy Paratha,179,"Punjabi - spiced mashed potato along with Onion , spiced chilli - green with red and black pepper, stuffed paratha, Served with our signature spicy mango chutney, sweet mango chunda , butter chiplet and curd.",0,punjabi spiced mashed potato onion spiced chilli green red black pepper stuffed paratha served signature spicy mango chutney sweet mango chunda butter chiplet curd,loaded aloo peppy paratha,mashed mango spiced,24,4
